"Tuberculosis incidence (per 100,000 people)",,,,,,,,,,,,,,,,,,,,
32,Greece,7.3,,7.1,,4.5,,4.6,,5.2,,5,,4.9,,4.5,,4.2,,4.5
78,Grenada,0,,1.7,,4.4,,2.2,,1.1,,0.6,,0,,5.4,,6.4,,3.2
126,Guatemala,31,,36,,28,,25,,28,,27,,25,,26,,24,,25
174,Guinea,228,,210,,186,,183,,180,,177,,177,,177,,176,,176
178,Guinea-Bissau,305,,361,,372,,376,,382,,387,,369,,373,,374,,374
123,Guyana,70,,106,,119,,118,,124,,112,,89,,93,,93,,86
169,Haiti,270,,272,,229,,220,,213,,206,,200,,194,,188,,181
132,Honduras,123,,57,,44,,48,,44,,43,,40,,41,,40,,38
4,"Hong Kong, China (SAR)",104,,95,,81,,77,,78,,76,,76,,71,,69,,67
43,Hungary,35,,21,,18,,15,,14,,12,,9.4,,10,,8.7,,7.7
6,Iceland,5.3,,3.9,,7.9,,2.8,,3.5,,3.9,,2.8,,2.4,,2.1,,4.5
129,India,289,,279,,247,,241,,234,,228,,223,,217,,211,,204
111,Indonesia,370,,360,,342,,338,,335,,332,,329,,325,,322,,319
65,Iran (Islamic Republic of),22,,16,,17,,18,,18,,18,,16,,16,,14,,14
120,Iraq,50,,48,,45,,45,,45,,45,,43,,43,,43,,42
3,Ireland,12,,12,,9.6,,9.6,,8.4,,8.7,,7.3,,7.2,,7.1,,7.3
22,Israel,10,,6.5,,5.3,,6.3,,7.6,,4.5,,5.2,,4,,3.5,,3.2
29,Italy,7,,7.5,,8.7,,6.6,,6,,5.8,,6.7,,6.7,,7.3,,7.4
96,Jamaica,6,,4.1,,5.8,,4.6,,4,,4.2,,3.8,,4.5,,4.5,,5.1
19,Japan,36,,24,,20,,20,,19,,18,,18,,16,,16,,15
102,Jordan,7.5,,8,,5.9,,5.4,,5.2,,5.2,,5.5,,5.8,,5.5,,6.8
50,Kazakhstan,166,,186,,145,,135,,120,,104,,91,,80,,72,,66
147,Kenya,451,,630,,531,,506,,471,,443,,423,,380,,348,,319
132,Kiribati,373,,449,,348,,410,,406,,469,,469,,552,,566,,413
..,Korea (Democratic People's Rep. of),513,,513,,513,,513,,513,,513,,513,,513,,513,,513
22,Korea (Republic of),49,,94,,95,,99,,94,,89,,85,,79,,77,,70
57,Kuwait,29,,26,,37,,24,,25,,22,,22,,22,,24,,27
122,Kyrgyzstan,244,,210,,145,,141,,140,,141,,142,,144,,144,,144
140,Lao People's Democratic Republic,330,,270,,221,,213,,204,,197,,189,,182,,175,,168
39,Latvia,96,,72,,50,,47,,53,,49,,42,,40,,37,,32
93,Lebanon,20,,11,,14,,12,,15,,15,,14,,13,,12,,12
164,Lesotho,992,,1280,,1120,,1050,,985,,916,,852,,788,,724,,665
176,Liberia,240,,267,,293,,299,,304,,308,,308,,308,,308,,308
110,Libya,40,,40,,40,,40,,40,,40,,40,,40,,40,,40
34,Lithuania,87,,73,,64,,65,,62,,60,,58,,55,,53,,50
21,Luxembourg,12,,9.3,,6.6,,5.5,,9.7,,8,,5,,6.1,,5.8,,6.3
162,Madagascar,293,,262,,241,,238,,236,,233,,235,,236,,237,,238
172,Malawi,392,,397,,332,,312,,294,,261,,227,,193,,159,,131
61,Malaysia,75,,69,,76,,80,,86,,91,,92,,88,,92,,93
104,Maldives,59,,48,,33,,29,,36,,36,,39,,46,,49,,39
184,Mali,77,,69,,63,,62,,61,,60,,58,,57,,56,,55
28,Malta,4.6,,6.2,,8,,8.2,,11,,14,,12,,8.6,,13,,11
117,Marshall Islands,81,,267,,460,,331,,344,,353,,336,,326,,422,,480
161,Mauritania,250,,181,,135,,128,,121,,115,,111,,107,,102,,97
66,Mauritius,17,,13,,12,,11,,13,,13,,13,,13,,12,,12
76,Mexico,23,,21,,21,,21,,21,,21,,21,,21,,22,,22
135,Micronesia (Federated States of),106,,115,,198,,179,,174,,180,,226,,124,,177,,165
107,Moldova (Republic of),80,,142,,116,,119,,124,,127,,115,,102,,101,,95
..,Monaco,0,,1.5,,3.1,,2.4,,1.5,,0.6,,0,,0,,0,,0
92,Mongolia,428,,428,,428,,428,,428,,428,,428,,428,,428,,428
52,Montenegro,..,,29,,20,,20,,18,,22,,21,,15,,16,,14
121,Morocco,115,,99,,101,,100,,99,,99,,101,,101,,103,,99
180,Mozambique,513,,523,,545,,548,,551,,551,,551,,551,,551,,551
145,Myanmar,411,,403,,384,,380,,376,,373,,369,,365,,361,,358
130,Namibia,711,,918,,649,,610,,552,,518,,480,,495,,446,,423
..,Nauru,46,,125,,34,,56,,65,,75,,83,,102,,101,,91
147,Nepal,163,,163,,163,,162,,161,,159,,158,,156,,154,,152
10,Netherlands,9,,7.9,,7.1,,6.7,,6.3,,5.7,,5.5,,5.8,,5.9,,5.2
14,New Zealand,10,,9.2,,7.9,,7.9,,7.5,,6.9,,7.5,,7.3,,7.3,,7.5
126,Nicaragua,60,,44,,53,,58,,59,,58,,55,,51,,48,,45
189,Niger,191,,143,,113,,109,,105,,102,,98,,95,,93,,90
158,Nigeria,219,,219,,219,,219,,219,,219,,219,,219,,219,,219
82,North Macedonia,39,,36,,23,,20,,21,,19,,17,,17,,16,,13
1,Norway,5.6,,6.9,,6.9,,7.4,,7.9,,8.2,,6.8,,6.3,,6.1,,5.1
47,Oman,16,,12,,12,,12,,13,,10,,10,,9,,9,,6.7
152,Pakistan,275,,276,,276,,276,,276,,275,,270,,270,,268,,267
55,Palau,65,,58,,107,,67,,22,,44,,76,,76,,123,,106
119,"Palestine, State of",3.2,,1,,0.9,,1,,0.9,,1.1,,1.2,,1.1,,1,,1
67,Panama,48,,61,,53,,55,,50,,47,,47,,52,,56,,54
155,Papua New Guinea,432,,432,,432,,432,,432,,432,,432,,432,,432,,432
98,Paraguay,42,,43,,42,,43,,44,,40,,39,,41,,42,,44
82,Peru,186,,153,,132,,131,,123,,122,,121,,119,,117,,116
106,Philippines,590,,539,,531,,535,,539,,543,,546,,550,,554,,554
32,Poland,33,,25,,21,,24,,21,,21,,20,,19,,18,,17
40,Portugal,47,,36,,28,,27,,27,,26,,24,,23,,20,,20
41,Qatar,54,,43,,37,,33,,40,,31,,23,,25,,23,,26
52,Romania,143,,140,,105,,97,,92,,89,,86,,82,,74,,72
49,Russian Federation,95,,87,,86,,81,,77,,73,,70,,67,,64,,60
157,Rwanda,95,,100,,82,,79,,71,,64,,63,,59,,61,,57
73,Saint Kitts and Nevis,0,,0,,4.5,,2.2,,4.4,,0,,15,,4.5,,0,,2.1
89,Saint Lucia,6.6,,9.8,,6,,4.6,,7.2,,5.9,,3.9,,9.1,,1.9,,7.7
94,Saint Vincent and the Grenadines,17,,7.4,,16,,18,,32,,3.2,,5.3,,7.4,,6.3,,2.1
111,Samoa,28,,15,,8.6,,12,,13,,13,,14,,11,,7.7,,18
..,San Marino,4.2,,0,,0,,0,,0,,0,,0,,0,,0,,0
137,Sao Tome and Principe,122,,153,,121,,133,,110,,138,,145,,159,,165,,118
36,Saudi Arabia,19,,17,,19,,16,,15,,13,,12,,12,,10,,10
166,Senegal,155,,141,,136,,136,,136,,136,,134,,130,,122,,122
63,Serbia,..,,40,,30,,28,,24,,27,,24,,21,,19,,19
62,Seychelles,28,,18,,21,,26,,25,,30,,16,,9.8,,15,,19
181,Sierra Leone,305,,316,,317,,316,,314,,313,,310,,307,,304,,301
9,Singapore,51,,35,,35,,36,,50,,46,,46,,45,,50,,47
36,Slovakia,22,,15,,8.7,,8,,6.8,,8.4,,6.8,,6.5,,5.9,,4.8
24,Slovenia,21,,15,,9.5,,10,,7.5,,7.7,,7.9,,7.2,,6.5,,6.2
153,Solomon Islands,91,,106,,80,,92,,82,,80,,75,,89,,84,,76
..,Somalia,285,,285,,286,,286,,286,,285,,274,,274,,270,,266
113,South Africa,585,,932,,948,,922,,892,,849,,820,,759,,618,,567
186,South Sudan,..,,..,,..,,146,,146,,146,,146,,146,,146,,146
25,Spain,22,,19,,17,,16,,14,,13,,12,,10,,12,,11
71,Sri Lanka,66,,66,,66,,66,,66,,66,,65,,65,,65,,64
168,Sudan,128,,117,,107,,105,,103,,100,,94,,88,,82,,77
98,Suriname,24,,29,,46,,29,,30,,32,,33,,33,,26,,29
8,Sweden,5.4,,6.9,,7.5,,6.5,,7.1,,7.3,,7.5,,9.2,,8.2,,5.7
2,Switzerland,9.3,,8,,7.5,,7.6,,6,,6.6,,5.9,,7.3,,7.8,,7.2
154,Syrian Arab Republic,39,,29,,22,,22,,18,,17,,23,,19,,21,,19
125,Tajikistan,219,,196,,128,,117,,108,,100,,91,,86,,85,,85
159,Tanzania (United Republic of),503,,510,,426,,401,,378,,336,,327,,306,,287,,269
77,Thailand,241,,224,,181,,176,,172,,170,,167,,163,,160,,156
131,Timor-Leste,..,,498,,498,,498,,498,,498,,498,,498,,498,,498
167,Togo,52,,71,,76,,73,,69,,64,,58,,52,,46,,41
